2025-08-12 00:47:57,712 - INFO - 🔍 Scanning directory: C:\Downloads\Project_Alpha\data

2025-08-12 00:47:57,714 - INFO - 📄 Processing file: begin_inventory.csv
2025-08-12 00:47:57,716 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\begin_inventory.csv
2025-08-12 00:48:26,598 - INFO - ✅ Chunk 104 into 'purchases' → Rows: 10000, Mem: 145.73 MB
2025-08-12 00:48:26,743 - INFO - ✅ Chunk 105 into 'purchases' → Rows: 10000, Mem: 151.77 MB
2025-08-12 00:48:26,887 - INFO - ✅ Chunk 106 into 'purchases' → Rows: 10000, Mem: 150.79 MB
2025-08-12 00:48:27,045 - INFO - ✅ Chunk 107 into 'purchases' → Rows: 10000, Mem: 151.55 MB
2025-08-12 00:48:27,199 - INFO - ✅ Chunk 108 into 'purchases' → Rows: 10000, Mem: 152.54 MB
2025-08-12 00:48:27,345 - INFO - ✅ Chunk 109 into 'purchases' → Rows: 10000, Mem: 151.63 MB
2025-08-12 00:48:27,578 - INFO - ✅ Chunk 110 into 'purchases' → Rows: 10000, Mem: 151.3 MB
2025-08-12 00:48:27,725 - INFO - ✅ Chunk 111 into 'purchases' → Rows: 10000, Mem: 152.68 MB
2025-08-12 00:48:27,868 - INFO - ✅ Chunk 112 into 'purchases' → Rows: 10000, Mem: 153.35 MB
2025-08-12 00:48:28,002 - INFO - ✅ Chunk 113 into 'purchases' → Rows: 10000, Mem: 152.57 MB
2025-08-12 00:48:28,138 - INFO - ✅ Chunk 114 into 'purchases' → Rows: 10000, Mem: 152.39 MB
2025-08-12 00:48:28,269 - INFO - ✅ Chunk 115 into 'purchases' → Rows: 10000, Mem: 153.43 MB
2025-08-12 00:48:28,399 - INFO - ✅ Chunk 116 into 'purchases' → Rows: 10000, Mem: 153.71 MB
2025-08-12 00:48:28,535 - INFO - ✅ Chunk 117 into 'purchases' → Rows: 10000, Mem: 152.7 MB
2025-08-12 00:48:28,665 - INFO - ✅ Chunk 118 into 'purchases' → Rows: 10000, Mem: 152.93 MB
2025-08-12 00:48:28,814 - INFO - ✅ Chunk 119 into 'purchases' → Rows: 10000, Mem: 152.99 MB
2025-08-12 00:48:29,040 - INFO - ✅ Chunk 120 into 'purchases' → Rows: 10000, Mem: 153.27 MB
2025-08-12 00:48:29,175 - INFO - ✅ Chunk 121 into 'purchases' → Rows: 10000, Mem: 154.14 MB
2025-08-12 00:48:29,316 - INFO - ✅ Chunk 122 into 'purchases' → Rows: 10000, Mem: 154.2 MB
2025-08-12 00:48:29,454 - INFO - ✅ Chunk 123 into 'purchases' → Rows: 10000, Mem: 153.44 MB
2025-08-12 00:48:29,589 - INFO - ✅ Chunk 124 into 'purchases' → Rows: 10000, Mem: 153.44 MB
2025-08-12 00:48:29,735 - INFO - ✅ Chunk 125 into 'purchases' → Rows: 10000, Mem: 154.32 MB
2025-08-12 00:48:29,887 - INFO - ✅ Chunk 126 into 'purchases' → Rows: 10000, Mem: 154.52 MB
2025-08-12 00:48:30,052 - INFO - ✅ Chunk 127 into 'purchases' → Rows: 10000, Mem: 155.29 MB
2025-08-12 00:48:30,205 - INFO - ✅ Chunk 128 into 'purchases' → Rows: 10000, Mem: 155.31 MB
2025-08-12 00:48:30,445 - INFO - ✅ Chunk 129 into 'purchases' → Rows: 10000, Mem: 155.3 MB
2025-08-12 00:48:30,591 - INFO - ✅ Chunk 130 into 'purchases' → Rows: 10000, Mem: 152.83 MB
2025-08-12 00:48:30,734 - INFO - ✅ Chunk 131 into 'purchases' → Rows: 10000, Mem: 154.82 MB
2025-08-12 00:48:30,878 - INFO - ✅ Chunk 132 into 'purchases' → Rows: 10000, Mem: 154.11 MB
2025-08-12 00:48:31,020 - INFO - ✅ Chunk 133 into 'purchases' → Rows: 10000, Mem: 154.28 MB
2025-08-12 00:48:31,165 - INFO - ✅ Chunk 134 into 'purchases' → Rows: 10000, Mem: 154.42 MB
2025-08-12 00:48:31,312 - INFO - ✅ Chunk 135 into 'purchases' → Rows: 10000, Mem: 147.87 MB
2025-08-12 00:48:31,462 - INFO - ✅ Chunk 136 into 'purchases' → Rows: 10000, Mem: 154.15 MB
2025-08-12 00:48:31,618 - INFO - ✅ Chunk 137 into 'purchases' → Rows: 10000, Mem: 148.39 MB
2025-08-12 00:48:31,761 - INFO - ✅ Chunk 138 into 'purchases' → Rows: 10000, Mem: 154.21 MB
2025-08-12 00:48:31,982 - INFO - ✅ Chunk 139 into 'purchases' → Rows: 10000, Mem: 147.72 MB
2025-08-12 00:48:32,153 - INFO - ✅ Chunk 140 into 'purchases' → Rows: 10000, Mem: 154.12 MB
2025-08-12 00:48:32,305 - INFO - ✅ Chunk 141 into 'purchases' → Rows: 10000, Mem: 147.87 MB
2025-08-12 00:48:32,448 - INFO - ✅ Chunk 142 into 'purchases' → Rows: 10000, Mem: 154.59 MB
2025-08-12 00:48:32,597 - INFO - ✅ Chunk 143 into 'purchases' → Rows: 10000, Mem: 147.57 MB
2025-08-12 00:48:32,740 - INFO - ✅ Chunk 144 into 'purchases' → Rows: 10000, Mem: 155.46 MB
2025-08-12 00:48:32,880 - INFO - ✅ Chunk 145 into 'purchases' → Rows: 10000, Mem: 148.15 MB
2025-08-12 00:48:33,024 - INFO - ✅ Chunk 146 into 'purchases' → Rows: 10000, Mem: 155.27 MB
2025-08-12 00:48:33,167 - INFO - ✅ Chunk 147 into 'purchases' → Rows: 10000, Mem: 148.14 MB
2025-08-12 00:48:33,405 - INFO - ✅ Chunk 148 into 'purchases' → Rows: 10000, Mem: 154.22 MB
2025-08-12 00:48:33,550 - INFO - ✅ Chunk 149 into 'purchases' → Rows: 10000, Mem: 148.34 MB
2025-08-12 00:48:33,698 - INFO - ✅ Chunk 150 into 'purchases' → Rows: 10000, Mem: 155.27 MB
2025-08-12 00:48:33,834 - INFO - ✅ Chunk 151 into 'purchases' → Rows: 10000, Mem: 151.02 MB
2025-08-12 00:48:33,980 - INFO - ✅ Chunk 152 into 'purchases' → Rows: 10000, Mem: 155.97 MB
2025-08-12 00:48:34,124 - INFO - ✅ Chunk 153 into 'purchases' → Rows: 10000, Mem: 155.53 MB
2025-08-12 00:48:34,273 - INFO - ✅ Chunk 154 into 'purchases' → Rows: 10000, Mem: 155.64 MB
2025-08-12 00:48:34,419 - INFO - ✅ Chunk 155 into 'purchases' → Rows: 10000, Mem: 156.41 MB
2025-08-12 00:48:34,561 - INFO - ✅ Chunk 156 into 'purchases' → Rows: 10000, Mem: 155.72 MB
2025-08-12 00:48:34,703 - INFO - ✅ Chunk 157 into 'purchases' → Rows: 10000, Mem: 156.48 MB
2025-08-12 00:48:34,930 - INFO - ✅ Chunk 158 into 'purchases' → Rows: 10000, Mem: 156.49 MB
2025-08-12 00:48:35,076 - INFO - ✅ Chunk 159 into 'purchases' → Rows: 10000, Mem: 156.49 MB
2025-08-12 00:48:35,218 - INFO - ✅ Chunk 160 into 'purchases' → Rows: 10000, Mem: 156.49 MB
2025-08-12 00:48:35,359 - INFO - ✅ Chunk 161 into 'purchases' → Rows: 10000, Mem: 156.54 MB
